model	edu_simMean	edu_simgradSelMean	edu_simFirst	edu_simTPsMean	edu_simHighestFP	exp_simMean	exp_simgradSelMean	exp_simFirst	exp_simTPsMean	exp_simHighestFP	lng_simMean	lng_simgradSelMean	lng_simFirst	lng_simTPsMean	lng_simHighestFP	all_simMean	all_simgradSelMean	all_simFirst	all_simTPsMean	all_simHighestFP
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	0.63535	0.7095800000000001	0.7186	0.6596145833333333	0.6647000000000001	0.6745	0.7065833333333333	0.7162999999999999	0.6815219047619048	0.7003999999999999	0.70218	0.7468222222222222	0.7712	0.71436	0.6705000000000001	0.6643760000000001	0.7158297777777777	0.7282	0.6810406832298136	0.6805416666666667
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	0.71826	0.82419	0.8289	0.7479704761904762	0.7172999999999999	0.6952799999999999	0.7539626190476191	0.7651000000000001	0.7078736904761904	0.7201	0.7000599999999999	0.7587028571428571	0.7742	0.7154011111111112	0.6964999999999999	0.7054279999999999	0.7830016190476189	0.7924400000000001	0.725417888888889	0.7149999999999999
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	0.68353	0.7826725	0.8023999999999999	0.7165266666666666	0.687	0.6817499999999999	0.74134	0.7523000000000001	0.7013129251700682	0.7245	0.6588200000000001	0.7595000000000001	0.7872	0.6728288888888889	0.64625	0.6778759999999998	0.761505	0.7793199999999999	0.7017546176046178	0.6958333333333333
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	0.69127	0.7988590476190476	0.8139	0.7205575396825397	0.7084999999999999	0.66238	0.7200166666666667	0.7326	0.6749907407407407	0.6897	0.7122	0.7433099999999999	0.7588	0.7249892857142857	0.7006	0.6839	0.7562122857142856	0.7703599999999998	0.7043932705026453	0.6994
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	0.6921600000000001	0.7885933333333334	0.7973	0.7330685185185186	0.6922	0.67892	0.72714	0.7371000000000001	0.6906607142857143	0.7125000000000001	0.6381	0.7190588888888889	0.7485999999999999	0.6565057142857144	0.61875	0.676052	0.750105111111111	0.7634799999999998	0.7002468614718615	0.6884166666666668
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	0.69896	0.8263666666666667	0.8315000000000001	0.7261869047619047	0.7202000000000001	0.6563899999999999	0.6935733333333334	0.7091999999999999	0.6666601851851852	0.667	0.6496999999999999	0.7199888888888889	0.7372	0.67335	0.5932000000000001	0.6720800000000001	0.7519737777777776	0.76372	0.6928566964285715	0.67352
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	0.81638	0.8818833333333332	0.8852	0.830482142857143	0.8258000000000001	0.8152699999999999	0.8438833333333333	0.8492	0.8211190476190477	0.8337	0.7924	0.8177499999999999	0.8300000000000001	0.8070528571428571	0.7670000000000001	0.8111400000000001	0.8538566666666667	0.85976	0.822089880952381	0.8171999999999997
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	0.6942299999999999	0.8228966666666666	0.8314	0.7206516666666667	0.7255999999999999	0.67935	0.7442444444444445	0.7585999999999999	0.730502380952381	0.7141	0.65718	0.7139999999999999	0.7358	0.6694357142857142	0.6399999999999999	0.6808680000000001	0.7696564444444445	0.7831600000000001	0.7121459956709958	0.7038800000000002
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	0.8200700000000001	0.8986428571428572	0.9016	0.8311916666666667	0.8391	0.8472500000000001	0.89693	0.9027000000000001	0.8800836734693878	0.8841000000000001	0.7952199999999999	0.8395777777777779	0.8568000000000001	0.926875	0.8128	0.825972	0.8861446984126985	0.8930799999999999	0.8626563690476191	0.8518400000000002
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	0.7169399999999999	0.8099166666666667	0.8192999999999999	0.7566322916666666	0.713125	0.7005	0.7484781746031746	0.7647999999999999	0.7155	0.7298	0.74424	0.7843666666666665	0.8055999999999999	0.7608250000000001	0.8119999999999999	0.7158239999999999	0.7802312698412699	0.79476	0.7419611111111111	0.7351904761904763
