model	edu_simMean	edu_simgradSelMean	edu_simFirst	edu_simTPsMean	edu_simHighestFP	exp_simMean	exp_simgradSelMean	exp_simFirst	exp_simTPsMean	exp_simHighestFP	lng_simMean	lng_simgradSelMean	lng_simFirst	lng_simTPsMean	lng_simHighestFP	all_simMean	all_simgradSelMean	all_simFirst	all_simTPsMean	all_simHighestFP
sjmm_sample_exp-MAPPED2-terms-ontology-sts-gbert	0.63535	0.7095800000000001	0.7186	0.6571074603174603	0.6122857142857143	0.6745	0.7065833333333333	0.7162999999999999	0.6786267857142856	0.701875	0.70218	0.7468222222222222	0.7712	0.7094600000000001	0.665	0.6643760000000001	0.7158297777777777	0.7282	0.6761856984126983	0.6611052631578948
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-gbert	0.71826	0.82419	0.8289	0.7282445238095239	0.6075	0.6952799999999999	0.7539626190476191	0.7651000000000001	0.6999301587301587	0.7378750000000001	0.7000599999999999	0.7587028571428571	0.7742	0.7088144444444444	0.65	0.7054279999999999	0.7830016190476189	0.7924400000000001	0.7130327619047618	0.6855333333333334
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-gbert	0.68353	0.7826725	0.8023999999999999	0.699241111111111	0.64525	0.6817499999999999	0.74134	0.7523000000000001	0.6855880952380953	0.7116666666666667	0.6588200000000001	0.7595000000000001	0.7872	0.6634244444444445	0.645	0.6778759999999998	0.761505	0.7793199999999999	0.6866165714285714	0.6850666666666666
sjmm_sample_exp-MAPPED2-terms-ontology-sts-jobGBERT	0.69127	0.7988590476190476	0.8139	0.7113803571428571	0.6005999999999999	0.66238	0.7200166666666667	0.7326	0.6769266666666667	0.6975	0.7122	0.7433099999999999	0.7588	0.7199416666666666	0.7006	0.6839	0.7562122857142856	0.7703599999999998	0.6993111428571427	0.6714444444444445
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-gbert	0.6921600000000001	0.7885933333333334	0.7973	0.7037522222222222	0.6753750000000001	0.67892	0.72714	0.7371000000000001	0.6815479761904762	0.7033333333333334	0.6381	0.7190588888888889	0.7485999999999999	0.6455366666666668	0.557	0.676052	0.750105111111111	0.7634799999999998	0.6832274126984129	0.6702
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-gbert	0.69896	0.8263666666666667	0.8315000000000001	0.7048025	0.6246666666666667	0.6563899999999999	0.6935733333333334	0.7091999999999999	0.6619695238095239	0.640125	0.6496999999999999	0.7199888888888889	0.7372	0.6667	0.5880000000000001	0.6720800000000001	0.7519737777777776	0.76372	0.6800488095238095	0.6209374999999999
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-gbert	0.81638	0.8818833333333332	0.8852	0.8209776984126984	0.796	0.8152699999999999	0.8438833333333333	0.8492	0.8162414285714286	0.8295999999999999	0.7924	0.8177499999999999	0.8300000000000001	0.8048678571428571	0.7624	0.8111400000000001	0.8538566666666667	0.85976	0.8158612222222221	0.8043999999999999
sjmm_sample_exp-MAPPED2-terms-ontology-sts-tsdae-jobGBERT	0.6942299999999999	0.8228966666666666	0.8314	0.7072745238095238	0.6796	0.67935	0.7442444444444445	0.7585999999999999	0.7263095238095237	0.7176666666666667	0.65718	0.7139999999999999	0.7358	0.6647023809523809	0.6397999999999999	0.6808680000000001	0.7696564444444445	0.7831600000000001	0.7036556277056278	0.6871578947368423
sjmm_sample_exp-MAPPED2-terms-ontology-tsdae-jobGBERT	0.8200700000000001	0.8986428571428572	0.9016	0.8244294047619048	0.7828	0.8472500000000001	0.89693	0.9027000000000001	0.8796868055555556	0.8814	0.7952199999999999	0.8395777777777779	0.8568000000000001	0.9235916666666667	0.79125	0.825972	0.8861446984126985	0.8930799999999999	0.8596458805744521	0.8364736842105261
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-jobGBERT	0.7169399999999999	0.8099166666666667	0.8192999999999999	0.7410227513227513	0.60775	0.7005	0.7484781746031746	0.7647999999999999	0.7029582142857144	0.7524285714285713	0.74424	0.7843666666666665	0.8055999999999999	0.751905	0.798	0.7158239999999999	0.7802312698412699	0.79476	0.7274296626984125	0.714923076923077
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-tsdae-jobGBERT	0.7151500000000001	0.8278500000000001	0.8343	0.7238717857142858	0.675	0.68774	0.7456800000000001	0.7628	0.691464126984127	0.7332500000000001	0.67064	0.7497833333333334	0.7578000000000001	0.6804928571428571	0.6683333333333333	0.6952839999999999	0.7793686666666667	0.7904000000000001	0.7022329365079365	0.7047333333333334
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-jobGBERT	0.70957	0.8034714285714287	0.8111	0.7391976190476188	0.6328	0.68724	0.7567583333333334	0.7625	0.6879875396825398	0.7284999999999999	0.7001000000000001	0.7275022222222223	0.756	0.7116216666666666	0.6192500000000001	0.6987439999999999	0.7695923492063491	0.7806400000000001	0.7121150958994709	0.6746470588235293
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-tsdae-jobGBERT	0.7106000000000001	0.8148416666666666	0.825	0.7206842857142857	0.6811666666666668	0.6818299999999999	0.7225811904761905	0.7439	0.6882727777777777	0.7015714285714285	0.6809599999999999	0.7372933333333334	0.7792	0.6906319047619048	0.6566666666666667	0.693164	0.7624278095238097	0.7834	0.7017092063492063	0.6854999999999999
sjmm_sample_exp-MAPPED2-terms-ontology-mnr-sts-gbert	0.70095	0.783975	0.7922	0.7082849999999999	0.6894	0.69005	0.7332177777777777	0.7434999999999999	0.6932178174603174	0.7081111111111111	0.7201	0.77534	0.7894	0.7221288888888888	0.6819999999999999	0.7004200000000002	0.761945111111111	0.77216	0.7050269047619048	0.6990000000000001
